,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,bethanien,-26.5,17.16,16.76,56.0,0.0,1.99,NA,1615854790.0
331,nantucket,41.28,-70.1,-3.0,39.0,1.0,7.2,US,1615854790.0
332,nanortalik,60.14,-45.24,-1.83,94.0,100.0,7.98,GL,1615854791.0
333,santana do livramento,-30.89,-55.53,19.43,63.0,7.0,3.86,BR,1615854791.0
334,hirara,24.8,125.28,24.0,78.0,20.0,4.12,JP,1615854791.0
335,xinqing,48.23,129.5,-5.33,71.0,100.0,3.68,CN,1615854792.0
336,katsuura,35.13,140.3,16.0,59.0,75.0,13.38,JP,1615854792.0
337,pangai,-19.8,-174.35,29.0,74.0,75.0,2.06,TO,1615854792.0
338,arraial do cabo,-22.97,-42.03,25.0,88.0,20.0,4.63,BR,1615854793.0
339,boende,-0.22,20.87,22.25,96.0,100.0,1.11,CD,1615854793.0
340,bathsheba,13.22,-59.52,25.0,73.0,20.0,5.66,BB,1615854504.0
341,imphal,24.82,93.95,16.13,66.0,0.0,0.63,IN,1615854793.0
342,bol,13.46,14.71,27.72,36.0,100.0,5.47,TD,1615854794.0
343,san rafael,-34.62,-68.33,22.06,59.0,100.0,3.5,AR,1615854723.0
344,sampit,-2.53,112.95,27.35,82.0,99.0,1.06,ID,1615854794.0
345,kavaratti,10.57,72.64,28.28,68.0,0.0,3.36,IN,1615854794.0
346,bintulu,3.17,113.03,26.0,94.0,20.0,0.51,MY,1615854546.0
347,purranque,-40.92,-73.17,15.0,80.0,20.0,2.36,CL,1615854795.0
348,gigmoto,13.78,124.39,28.05,80.0,100.0,2.76,PH,1615854795.0
349,buala,-8.14,159.59,29.83,58.0,100.0,1.0,SB,1615854795.0
350,maarianhamina,60.1,19.93,-1.0,93.0,0.0,1.03,AX,1615854796.0
351,salalah,17.02,54.09,22.0,37.0,0.0,3.09,OM,1615854796.0
352,tilichiki,60.47,166.1,-12.11,72.0,16.0,1.11,RU,1615854796.0
353,beringovskiy,63.05,179.32,-15.06,71.0,0.0,2.31,RU,1615854779.0
354,oparino,59.85,48.28,-0.56,96.0,100.0,4.25,RU,1615854797.0
355,wageningen,51.97,5.67,6.11,81.0,90.0,5.14,NL,1615854797.0
356,marakkanam,12.2,79.95,23.24,82.0,0.0,2.72,IN,1615854798.0
357,yarmouth,41.71,-70.23,-3.0,28.0,1.0,7.72,US,1615854798.0
358,zheleznodorozhnyy,55.75,38.0,2.0,93.0,75.0,3.0,RU,1615854798.0
359,bonthe,7.53,-12.51,25.65,78.0,95.0,1.63,SL,1615854799.0
360,carquefou,47.3,-1.49,10.0,81.0,90.0,2.06,FR,1615854799.0
361,provideniya,64.38,-173.3,-12.0,79.0,0.0,2.0,RU,1615854799.0
362,yermakovskoye,53.28,92.4,-10.16,85.0,100.0,2.24,RU,1615854800.0
363,cap malheureux,-19.98,57.61,25.0,85.0,20.0,0.45,MU,1615854668.0
364,sunrise manor,36.21,-115.07,17.0,51.0,75.0,10.8,US,1615854616.0
365,tual,-5.67,132.75,27.94,74.0,100.0,5.82,ID,1615854800.0
366,lamu,-2.27,40.9,26.0,89.0,1.0,4.13,KE,1615854801.0
367,robertsport,6.75,-11.37,26.52,84.0,72.0,3.06,LR,1615854801.0
368,qingdao,36.1,120.37,8.33,53.0,0.0,5.0,CN,1615854801.0
369,vaitape,-16.52,-151.75,28.23,73.0,100.0,4.48,PF,1615854802.0
370,marawi,8.0,124.29,27.78,78.0,0.0,0.45,PH,1615854802.0
371,gushikawa,26.35,127.87,23.0,73.0,20.0,4.63,JP,1615854802.0
372,namibe,-15.2,12.15,24.16,83.0,89.0,1.73,AO,1615854803.0
373,erenhot,43.65,111.98,-2.18,18.0,100.0,5.57,CN,1615854803.0
374,kyren,51.68,102.14,-6.43,75.0,8.0,0.55,RU,1615854803.0
375,bethel,41.37,-73.41,-2.78,31.0,0.0,3.21,US,1615854538.0
376,baykit,61.67,96.37,-12.56,96.0,97.0,1.51,RU,1615854804.0
377,deputatskiy,69.3,139.9,-27.87,92.0,100.0,3.19,RU,1615854804.0
378,avanigadda,16.02,80.92,25.0,88.0,75.0,0.96,IN,1615854804.0
379,artigas,-30.4,-56.47,22.66,46.0,9.0,4.89,UY,1615854805.0
380,lasa,46.62,10.7,0.56,86.0,90.0,3.09,IT,1615854805.0
381,hualmay,-11.1,-77.61,22.89,76.0,99.0,3.47,PE,1615854805.0
382,kenai,60.55,-151.26,-2.0,73.0,90.0,2.57,US,1615854806.0
383,vanavara,60.34,102.28,-13.7,94.0,95.0,3.63,RU,1615854806.0
384,angoche,-16.23,39.91,23.34,93.0,96.0,2.39,MZ,1615854806.0
385,mecca,21.43,39.83,24.09,53.0,28.0,0.94,SA,1615854807.0
386,bayir,37.27,28.22,12.0,62.0,75.0,6.69,TR,1615854807.0
387,coffs harbour,-30.3,153.13,22.78,64.0,75.0,5.14,AU,1615854807.0
388,puerto baquerizo moreno,-0.9,-89.6,26.19,74.0,64.0,3.16,EC,1615854808.0
389,matara,5.95,80.54,23.6,86.0,10.0,2.54,LK,1615854808.0
390,terrace,54.52,-128.6,1.0,80.0,90.0,6.17,CA,1615854657.0
391,verkhnevilyuysk,63.45,120.32,-10.66,91.0,97.0,3.54,RU,1615854809.0
392,voh,-20.97,164.7,30.38,54.0,0.0,2.61,NC,1615854809.0
393,valky,49.84,35.62,1.0,86.0,0.0,4.0,UA,1615854809.0
394,alta floresta,-9.88,-56.09,22.53,92.0,99.0,0.71,BR,1615854810.0
395,batemans bay,-35.72,150.18,20.56,73.0,19.0,1.79,AU,1615854810.0
396,wamba,8.93,8.6,24.51,54.0,100.0,0.63,NG,1615854810.0
397,jerome,42.72,-114.52,16.0,18.0,20.0,8.23,US,1615854626.0
398,sorland,67.67,12.69,3.72,63.0,7.0,4.41,NO,1615854811.0
399,san jose,37.34,-121.89,11.67,58.0,75.0,5.66,US,1615854545.0
400,fallon,39.47,-118.78,2.78,64.0,90.0,3.6,US,1615854811.0
401,poli,-3.33,36.8,15.64,89.0,43.0,1.19,TZ,1615854811.0
402,dzidzantun,21.25,-89.05,29.2,45.0,0.0,4.22,MX,1615854812.0
403,erbach,49.66,9.0,4.44,76.0,80.0,3.73,DE,1615854812.0
404,south sioux city,42.47,-96.41,1.0,93.0,90.0,5.66,US,1615854812.0
405,phan thiet,10.93,108.1,25.22,70.0,63.0,2.46,VN,1615854813.0
406,pochutla,15.74,-96.47,28.0,69.0,20.0,7.72,MX,1615854813.0
407,taseyevo,57.22,94.9,-12.73,94.0,96.0,2.62,RU,1615854813.0
408,tarko-sale,64.92,77.78,-11.57,95.0,94.0,2.54,RU,1615854814.0
409,sam chuk,14.76,100.09,27.22,99.0,70.0,4.21,TH,1615854814.0
410,viedma,-40.81,-63.0,24.4,48.0,100.0,1.21,AR,1615854814.0
411,srednekolymsk,67.45,153.68,-18.02,88.0,100.0,3.5,RU,1615854814.0
412,bereznik,62.86,42.71,0.33,99.0,100.0,1.66,RU,1615854815.0
413,mocuba,-16.84,36.99,20.95,97.0,100.0,0.72,MZ,1615854815.0
414,kashin,57.36,37.61,-3.85,95.0,60.0,3.35,RU,1615854815.0
415,chimbote,-9.09,-78.58,23.7,73.0,100.0,2.82,PE,1615854816.0
416,tieli,46.95,128.05,-6.69,86.0,100.0,6.69,CN,1615854816.0
417,totkomlos,46.42,20.73,4.0,81.0,90.0,5.66,HU,1615854816.0
418,sayyan,15.17,44.32,11.49,30.0,0.0,1.13,YE,1615854817.0
419,pacifica,37.61,-122.49,12.22,58.0,75.0,4.12,US,1615854664.0
420,hambantota,6.12,81.12,23.0,100.0,20.0,2.06,LK,1615854817.0
421,berlevag,70.86,29.09,-3.56,75.0,7.0,4.11,NO,1615854817.0
422,gravdal,68.12,13.5,2.21,67.0,0.0,4.18,NO,1615854818.0
423,consuegra,39.46,-3.61,11.11,58.0,0.0,0.45,ES,1615854818.0
424,binga,-17.62,27.34,20.55,86.0,37.0,0.71,ZW,1615854818.0
425,meulaboh,4.14,96.13,26.12,85.0,96.0,1.32,ID,1615854819.0
426,deskati,39.92,21.8,8.0,56.0,0.0,2.57,GR,1615854819.0
427,praia da vitoria,38.73,-27.07,15.0,94.0,75.0,3.82,PT,1615854819.0
428,severo-kurilsk,50.68,156.12,2.22,98.0,100.0,11.14,RU,1615854735.0
429,tuatapere,-46.13,167.68,13.89,67.0,95.0,8.94,NZ,1615854820.0
430,kozhva,65.11,57.05,-4.28,95.0,100.0,3.68,RU,1615854820.0
431,yelnya,54.58,33.18,-1.33,88.0,100.0,1.94,RU,1615854821.0
432,garowe,8.41,48.48,20.41,93.0,54.0,3.28,SO,1615854821.0
433,launceston,-41.45,147.17,18.33,59.0,75.0,2.57,AU,1615854821.0
434,los lunas,34.81,-106.73,15.56,18.0,75.0,4.12,US,1615854822.0
435,honiara,-9.43,159.95,30.23,62.0,38.0,2.29,SB,1615854822.0
436,gaya,24.78,85.0,18.0,68.0,0.0,1.81,IN,1615854766.0
437,schoningen,52.14,10.97,3.89,89.0,68.0,5.36,DE,1615854822.0
438,sao bento,-6.28,-37.75,22.44,82.0,2.0,4.12,BR,1615854823.0
439,vyritsa,59.41,30.35,1.11,93.0,90.0,5.0,RU,1615854790.0
440,arawa,-6.21,155.54,30.48,55.0,100.0,1.74,PG,1615854823.0
441,yar-sale,66.83,70.83,-14.13,95.0,100.0,4.59,RU,1615854793.0
442,pauini,-7.71,-66.98,23.88,86.0,94.0,1.1,BR,1615854823.0
443,verkhnyaya inta,65.98,60.31,-6.83,91.0,100.0,4.02,RU,1615854824.0
444,kargasok,59.06,80.86,-10.75,95.0,98.0,4.23,RU,1615854728.0
445,daru,-9.08,143.21,28.47,76.0,47.0,1.89,PG,1615854824.0
446,inta,66.03,60.17,-6.59,92.0,100.0,4.48,RU,1615854824.0
447,grenfell,-33.9,148.17,21.61,44.0,0.0,5.0,AU,1615854825.0
448,hofn,64.25,-15.21,6.18,97.0,100.0,1.76,IS,1615854825.0
449,kyzyl-suu,42.34,78.01,-2.04,68.0,24.0,1.36,KG,1615854825.0
450,mandalgovi,45.76,106.27,-4.14,24.0,0.0,4.99,MN,1615854826.0
451,chapais,49.78,-74.85,-14.0,51.0,90.0,1.54,CA,1615854826.0
452,kurikka,62.62,22.42,0.0,100.0,0.0,0.51,FI,1615854827.0
453,puerto del rosario,28.5,-13.86,17.0,82.0,75.0,3.6,ES,1615854765.0
454,vanimo,-2.67,141.3,28.83,71.0,100.0,0.59,PG,1615854827.0
455,aldan,58.6,125.39,-14.71,88.0,60.0,2.46,RU,1615854827.0
456,kanbe,16.71,96.0,25.0,88.0,0.0,1.03,MM,1615854828.0
457,itaituba,-4.28,-55.98,27.0,83.0,20.0,0.35,BR,1615854828.0
458,sabya,17.15,42.63,26.0,78.0,0.0,1.32,SA,1615854828.0
459,kamskiye polyany,55.43,51.42,-8.0,67.0,0.0,8.0,RU,1615854829.0
460,novyy urengoy,66.08,76.63,-17.41,96.0,97.0,3.88,RU,1615854829.0
461,kahului,20.89,-156.47,25.0,73.0,75.0,3.09,US,1615854829.0
462,pizhanka,57.46,48.54,-1.99,94.0,100.0,7.58,RU,1615854830.0
463,shache,38.42,77.24,8.9,33.0,67.0,3.77,CN,1615854830.0
464,grand-santi,4.25,-54.38,23.13,98.0,100.0,1.44,GF,1615854830.0
465,axim,4.87,-2.24,26.69,84.0,58.0,3.86,GH,1615854830.0
466,port-gentil,-0.72,8.78,26.0,94.0,20.0,1.54,GA,1615854831.0
467,koshurnikovo,54.17,93.3,-11.37,96.0,100.0,0.74,RU,1615854831.0
468,vila franca do campo,37.72,-25.43,16.0,94.0,75.0,2.57,PT,1615854831.0
469,misratah,32.38,15.09,13.72,63.0,0.0,5.86,LY,1615854832.0
470,jalu,29.03,21.55,11.99,79.0,0.0,4.36,LY,1615854832.0
471,leh,34.17,77.58,-7.09,66.0,97.0,1.94,IN,1615854832.0
472,hermiston,45.84,-119.29,8.89,42.0,90.0,4.63,US,1615854662.0
473,pisco,-13.7,-76.22,23.0,73.0,0.0,8.75,PE,1615854833.0
474,dodoma,-6.17,35.74,17.6,97.0,13.0,2.86,TZ,1615854833.0
475,seoul,37.57,126.98,8.0,42.0,0.0,7.2,KR,1615854410.0
476,hanzhong,33.07,107.03,17.37,68.0,100.0,2.56,CN,1615854834.0
477,pozo colorado,-23.49,-58.8,27.46,56.0,2.0,2.24,PY,1615854834.0
478,parabel,58.7,81.48,-13.39,95.0,98.0,4.14,RU,1615854834.0
479,leningradskiy,69.38,178.42,-18.53,77.0,82.0,1.68,RU,1615854835.0
480,ankang,32.68,109.02,17.86,69.0,100.0,3.73,CN,1615854835.0
481,lazy,50.35,19.42,-1.67,93.0,21.0,0.51,PL,1615854836.0
482,sobolevo,54.43,31.9,-1.01,88.0,100.0,2.27,RU,1615854836.0
483,kirakira,-10.45,161.92,26.54,83.0,100.0,1.54,SB,1615854836.0
484,hobyo,5.35,48.53,26.17,78.0,90.0,6.35,SO,1615854836.0
485,santa cruz cabralia,-16.28,-39.02,26.0,69.0,0.0,4.63,BR,1615854837.0
486,nuuk,64.18,-51.72,-7.0,93.0,90.0,7.72,GL,1615854837.0
487,cayenne,4.93,-52.33,26.67,88.0,75.0,4.56,GF,1615854605.0
488,olinda,-8.01,-34.86,26.0,73.0,40.0,5.14,BR,1615854838.0
489,lokosovo,61.13,74.82,-10.67,95.0,96.0,3.61,RU,1615854838.0
490,urucui,-7.23,-44.56,23.86,89.0,0.0,0.55,BR,1615854838.0
491,shenjiamen,29.96,122.3,13.61,97.0,100.0,3.79,CN,1615854839.0
492,pasuruan,-7.65,112.91,26.0,94.0,20.0,2.06,ID,1615854839.0
493,luau,-10.71,22.22,17.03,95.0,76.0,1.11,AO,1615854839.0
494,uni,57.75,51.49,-4.97,94.0,100.0,6.96,RU,1615854840.0
495,sakaiminato,35.55,133.23,13.0,88.0,75.0,1.03,JP,1615854840.0
496,benguela,-12.58,13.41,26.12,82.0,100.0,2.35,AO,1615854840.0
497,solnechnyy,50.72,136.63,-1.03,84.0,100.0,4.96,RU,1615854841.0
498,strelka,58.07,93.03,-14.41,95.0,100.0,3.17,RU,1615854841.0
499,klyuchi,52.27,79.17,-16.63,94.0,0.0,3.72,RU,1615854841.0
500,yarensk,62.17,49.09,0.32,98.0,100.0,3.54,RU,1615854842.0
501,vostok,46.49,135.88,-1.94,88.0,100.0,2.14,RU,1615854842.0
502,the valley,18.22,-63.06,26.11,83.0,20.0,2.57,AI,1615854842.0
503,ambunti,-4.24,142.84,27.45,86.0,92.0,1.08,PG,1615854843.0
504,opwijk,50.97,4.18,6.11,87.0,75.0,4.12,BE,1615854843.0
505,sergeyevka,53.88,67.42,-16.99,85.0,0.0,5.85,KZ,1615854843.0
506,isangel,-19.55,169.27,30.0,70.0,75.0,4.12,VU,1615854844.0
507,udachnyy,66.42,112.4,-24.93,93.0,98.0,1.8,RU,1615854687.0
508,evensk,61.95,159.23,-13.47,91.0,100.0,1.74,RU,1615854844.0
509,zhangjiakou,40.81,114.88,0.31,17.0,0.0,1.02,CN,1615854844.0
510,waiuku,-37.25,174.75,23.33,60.0,100.0,3.6,NZ,1615854845.0
511,skibbereen,51.55,-9.27,9.0,93.0,75.0,2.06,IE,1615854845.0
512,turbat,26.0,63.04,17.82,81.0,92.0,0.46,PK,1615854846.0
513,aktau,43.65,51.2,-2.0,40.0,0.0,10.0,KZ,1615854846.0
514,alice springs,-23.7,133.88,19.0,34.0,0.0,5.14,AU,1615854817.0
515,paamiut,61.99,-49.67,-5.97,93.0,100.0,9.98,GL,1615854846.0
516,tymovskoye,50.85,142.66,3.55,80.0,0.0,1.2,RU,1615854847.0
517,jumla,29.27,82.18,4.96,79.0,0.0,1.44,NP,1615854847.0
518,kholodnyy,62.72,147.95,-14.1,83.0,77.0,1.67,RU,1615854847.0
519,anloga,5.79,0.9,28.0,89.0,20.0,5.14,GH,1615854848.0
520,bonfim,3.08,-59.95,27.97,68.0,100.0,2.5,BR,1615854848.0
521,touros,-5.2,-35.46,27.0,74.0,75.0,3.09,BR,1615854848.0
522,luwuk,-0.95,122.79,29.19,75.0,83.0,0.42,ID,1615854849.0
523,northam,51.03,-4.22,9.44,95.0,59.0,2.24,GB,1615854849.0
524,saravan,39.72,45.65,4.0,81.0,90.0,2.06,AM,1615854849.0
525,manaus,-3.1,-60.02,27.0,89.0,40.0,2.06,BR,1615854597.0
526,ferrol,43.48,-8.24,11.11,87.0,0.0,0.51,ES,1615854850.0
527,kutum,14.2,24.67,19.61,10.0,0.0,2.45,SD,1615854850.0
528,japura,-0.32,102.35,25.89,91.0,74.0,0.39,ID,1615854850.0
529,san marcos,33.14,-117.17,13.33,54.0,75.0,9.26,US,1615854851.0
530,marsh harbour,26.54,-77.06,22.58,62.0,0.0,5.28,BS,1615854851.0
531,quatre cocos,-20.21,57.76,25.0,83.0,20.0,3.6,MU,1615854851.0
532,bubaque,11.28,-15.83,25.96,64.0,0.0,7.43,GW,1615854851.0
533,fukue,32.69,128.84,17.0,94.0,75.0,5.66,JP,1615854852.0
534,vary,48.12,22.71,5.56,75.0,75.0,5.14,UA,1615854852.0
535,samandag,36.08,35.98,10.0,100.0,75.0,2.06,TR,1615854852.0
536,champerico,14.3,-91.92,29.0,74.0,40.0,3.09,GT,1615854853.0
537,labytnangi,66.66,66.42,-12.99,93.0,100.0,3.15,RU,1615854853.0
538,winslow,35.02,-110.7,14.0,24.0,1.0,9.77,US,1615854853.0
539,uddevalla,58.35,11.94,-2.22,100.0,0.0,1.03,SE,1615854854.0
540,manyana,-23.4,21.72,20.05,52.0,64.0,0.82,BW,1615854854.0
541,chapleau,47.84,-83.4,-3.0,39.0,40.0,1.03,CA,1615854854.0
542,lebanon,36.21,-86.29,17.0,88.0,40.0,3.6,US,1615854705.0
543,hamilton,39.18,-84.53,2.22,87.0,90.0,3.6,US,1615854855.0
544,maragogi,-9.01,-35.22,25.4,77.0,98.0,2.9,BR,1615854855.0
545,pamyat parizhskoy kommuny,56.1,44.5,1.0,86.0,90.0,7.0,RU,1615854855.0
546,asyut,27.18,31.18,17.0,67.0,0.0,3.6,EG,1615854856.0
547,bereda,43.27,-7.54,6.67,100.0,69.0,3.13,ES,1615854856.0
548,goderich,43.75,-81.72,0.0,34.0,100.0,2.57,CA,1615854856.0
549,belaya gora,68.53,146.42,-21.99,90.0,99.0,6.3,RU,1615854857.0
550,ovar,40.86,-8.63,13.89,84.0,99.0,2.2,PT,1615854615.0
551,jinchang,38.5,102.17,2.91,23.0,77.0,1.17,CN,1615854857.0
552,creel,27.75,-107.63,10.53,16.0,50.0,6.74,MX,1615854858.0
553,bihoro,43.82,144.1,2.78,60.0,0.0,2.57,JP,1615854858.0
554,yeniseysk,58.45,92.17,-14.67,94.0,96.0,3.3,RU,1615854858.0
555,caravelas,-17.71,-39.25,23.64,81.0,0.0,2.38,BR,1615854858.0
556,bilibino,68.05,166.44,-21.28,76.0,100.0,1.55,RU,1615854859.0
557,cierna nad tisou,48.42,22.09,3.33,76.0,100.0,2.24,SK,1615854859.0
558,yerbogachen,61.28,108.01,-12.04,92.0,100.0,4.51,RU,1615854860.0
559,bela vista,-22.11,-56.52,26.23,65.0,1.0,1.87,BR,1615854860.0
560,shwebo,22.57,95.7,23.98,35.0,0.0,1.03,MM,1615854860.0
561,plover,44.46,-89.54,-1.11,100.0,90.0,4.63,US,1615854860.0
562,pemangkat,1.17,108.97,26.47,82.0,100.0,2.43,ID,1615854861.0
563,cleburne,32.35,-97.39,25.0,19.0,1.0,3.6,US,1615854861.0
564,salta,-24.79,-65.41,19.0,94.0,40.0,1.03,AR,1615854861.0
565,beloha,-25.17,45.05,22.39,85.0,0.0,3.23,MG,1615854862.0
566,lazarev,52.23,141.51,-3.91,93.0,2.0,8.18,RU,1615854862.0
567,broome,42.25,-75.83,-4.44,45.0,1.0,3.6,US,1615854813.0
568,kathu,7.92,98.33,24.0,83.0,20.0,0.51,TH,1615854862.0
569,sambava,-14.27,50.17,25.22,87.0,98.0,2.95,MG,1615854863.0
570,richards bay,-28.78,32.04,22.39,92.0,1.0,3.39,ZA,1615854725.0
571,santa fe,-31.63,-60.7,21.67,65.0,74.0,4.02,AR,1615854863.0
572,davila,18.47,120.58,26.0,89.0,75.0,2.57,PH,1615854864.0
573,tondano,1.3,124.91,29.0,74.0,20.0,1.03,ID,1615854864.0
574,opuwo,-18.06,13.84,18.96,86.0,62.0,1.21,NA,1615854864.0
575,det udom,14.91,105.08,30.56,83.0,68.0,0.51,TH,1615854865.0
576,hokitika,-42.72,170.97,15.95,60.0,0.0,7.56,NZ,1615854865.0
577,saint-alexandre,44.23,4.62,8.89,76.0,0.0,8.23,FR,1615854865.0
578,huadian,42.96,126.75,-1.86,44.0,100.0,7.21,CN,1615854865.0
579,cape coast,5.11,-1.25,26.89,84.0,80.0,4.87,GH,1615854866.0
580,yokote,39.3,140.57,6.0,87.0,75.0,2.06,JP,1615854866.0
